NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,437.939846190829
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,430.810120572565
b38a03232f43b11c9d0788abaf060f7366053b6d,583.626092975937
715494628a50142ce8cb17191cfe6d0f3cae0934,540.949891898374
e656d6bad65c93fb2880f1eba5037008c8e75774,463.329157698274
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,537.748392755381
11539e86171bf07d3a36f09377d7f54ebcc8406a,438.100035445294
043c544a2104aa8a9849f1a703a08d37a2f16839,471.921186496143
76ba050e64ad100b856f0eaabd8f539d5c7dd185,466.552375742037
940aede382ccb332fab15d413217695ec44ca765,450.883761933926
9ad714b116da76d878dd399d187fccc2dd13dd63,573.071562464865
dd34464a4d780b12a089347ad580418ac57a3055,530.694473935372
f837a4cb05a5fd59d20138182f5e8c721eadd584,464.362654221673
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,387.10028838875
3d203727f27abd83b71732d88d8cb1cc099f363b,433.641802700757
cbc301183dec912f3513ca766bf03dd565f3a38f,495.398622514445
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,636.948603599819
11282da1ee78c8db45a041db4c744e33df489df0,427.752701315681
03c67f683a415c2ea09b582248bd4cb08528c19d,586.780786489738
046e844fb06a07ba30b41521f0065a8d9c6e5024,391.847637539589
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,454.531813913188
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,405.965275742125
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,565.870946592759
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,507.108547178325
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,547.815469763848
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,490.689357719007
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,460.557393893247
59bfa081e020013410d9f60f91813964ba749bb2,433.270266837556
f5e069ee3bc95998464e8ff5da048b7f999921ed,456.411882178831
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,607.656780862514
664f44258212a1f7e4086f2b4845d586c543fa3f,492.380130874437
265cd7befa74a9f2a198fc57baec9858075f8419,430.7646233439
6f9ac44919bbd204e0ef15185388fd2d4bc61253,515.550905776734
78de1ee60b55766cc3eba4089e36c57139b66ebd,458.344821352396
1e61a474acdc043eb39a89c17fab34bd2ea1a940,440.61671857422
940af68ded6af2875708611051aa7ff3f134d80b,513.544380156971
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,494.523919331137
c76ddf6e9f80984e901b12f9462a3cf029bea290,484.167727294671
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,455.631882314176
92823d467a2ced9529801e0e8a94802dd88f0c17,442.698763033531
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,574.094298428872
413cbb38b2e2522f8167ffb9daeac1347b281393,494.573505554989
68985fad004092956a4b4ce94dd53dc76d07eaf7,494.244431590342
bdca9aeb19521675af15f2c28d86f6bebc45a834,481.636602664964
b65b19d42b7a4b644fe9f99366dcb37b120862d9,408.976229449126
eda898aa8ec465cbac70de72ead0c6d688e5f95a,443.042671737613
8d5c4481d736f6ce27976e400f4245bf10757608,416.73348837146
c4cea54435c0fd0e171eed4c215479bb3ca86113,447.609379797473
7d5cd89c6112b9a202a025a24355135bc60848c6,475.187156296607
b70ab62384aa80545928a311f5b5d3db2f4d87ee,549.36850279437
c96431dd924f366d2229a7f1455388b8cd85be49,578.041853153342
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,426.637379851217
e724482370ae6126008ade80b564ad8d8a0a7cbd,473.267978920623
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,604.549939160791
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,488.650405841543
7f898f8939ae054359f83ee154bb91bc7dd2c959,559.197455989015
